Weight Bits,Channels,Filter Size,Image Size,Layer,Data Structure,Sparsity,Out Length,Forward Energy,Backward Energy,Forward Time,Backward Time,Memory Power
8,32,7,28,Convolution,Func-BMP,1.0,128,3.1380574879129792e-06, 5.399992847108595e-06,0.09179949416320002, 0.12142580886374399,0.0008312142599999999
8,32,7,28,Convolution,Func-Pure,1.0,128,2.5483857784511678e-06, 4.367750331303103e-06,0.11134039406054402, 0.095045131801088,0.0007822140299999999
8,16,3,28,Convolution,PB-BMP,1.0,128,7.95031412087264e-08, 2.1462342862971203e-07,0.004726124005504, 0.008325741517312002,0.00020860076
8,16,3,28,Convolution,PB-CSR,1.0,128,6.36329088935136e-08, 2.82419964794832e-07,0.0025916438396160002, 0.00464413662464,0.00101156579
8,16,3,28,Convolution,Func-RowCol,1.0,128,7.07070852360672e-08, 1.767078653029408e-07,0.00575213877184, 0.01044251482368,0.00015960053
8,16,3,28,Convolution,Func-BMP,1.0,128,1.79895111816752e-07, 2.732564665145376e-07,0.008735455612288001, 0.011748949744127999,0.00020860076
8,16,3,28,Convolution,Func-Pure,1.0,128,1.224029158194656e-07, 1.732707228547104e-07,0.01035377973184, 0.008963577223679998,0.00015960053
8,64,3,28,Convolution,PB-BMP,1.0,128,4.93445592549312e-07, 1.2794581925766784e-06,0.018958980228096, 0.033214085225472,0.00044031946
8,64,3,28,Convolution,PB-CSR,1.0,128,4.5926087055456e-07, 2.100284872011533e-06,0.010483460821504, 0.018734356912128002,0.00380083394
8,64,3,28,Convolution,Func-RowCol,1.0,128,4.536307448368512e-07, 1.1155188330403456e-06,0.023023478703616002, 0.041799889247232,0.00037472753
8,64,3,28,Convolution,Func-BMP,1.0,128,8.903828511595904e-07, 1.501713237886733e-06,0.034956746065408, 0.047025628929023996,0.00042372776
8,64,3,28,Convolution,Func-Pure,1.0,128,6.604140671704448e-07, 1.101770263247424e-06,0.04143004254361601, 0.035884138847231996,0.00037472753
8,32,3,32,FullyConnected,Crossbar,1.0,128,2.573768575706714e-06, 6.570903538315867e-06,0.0014259211776, 0.002906237693952,0.0591600363
8,32,3,32,FullyConnected,PB-BMP,1.0,128,2.7299447190846343e-06, 7.811818427394266e-06,0.0014319096604160002, 0.0029507658155520002,0.06679878430000001
8,32,3,32,FullyConnected,PB-CSR,1.0,128,4.976748364254425e-06, 9.50452163118183e-06,0.002553378400768, 0.005462400802426,0.3234246363
8,32,3,32,Convolution,PB-BMP,1.0,128,2.658025716885696e-07, 6.624119645854849e-07,0.012358305170176002, 0.021763520227840005,0.00027289136
8,32,3,32,Convolution,PB-CSR,1.0,128,2.2965796258224e-07, 9.897415177395328e-07,0.006805899068160001, 0.012231132998144,0.00260745159
8,32,3,32,Convolution,Func-RowCol,1.0,128,2.431552180234432e-07, 5.636973264034945e-07,0.015027038208768002, 0.027281581697536004,0.00022389113
8,32,3,32,Convolution,Func-BMP,1.0,128,5.283810833770688e-07, 8.159059173235841e-07,0.022820192404224, 0.030694309652992004,0.00027289136
